,Norm of every face in the DB,Names
164,1.419434255558111,Stefan
165,1.4101667023798519,Stefan
166,1.4075381625521146,Stefan
167,1.428138478562813,Stefan
168,1.4359093279449768,Stefan
169,1.4216184293925918,Stefan
170,1.3929417808350895,Stefan
171,1.4019207937346458,Stefan
172,1.4198838030561387,Stefan
173,1.4283334496880424,Stefan
174,1.402404074599722,Stefan
175,1.4205292114439536,Stefan
176,1.3692771533141896,Stefan
177,1.3948370486988408,Stefan
178,1.389219995719551,Stefan
179,1.4102441427164736,Stefan
180,1.4671430488853796,Stefan
181,1.4126638697391471,Stefan
182,1.4245845626294789,Stefan
183,1.369109121090087,Stefan
184,1.3820432728274883,Stefan
185,1.3969662494932211,Stefan
186,1.3713581694261756,Stefan
187,1.4336742361558608,Stefan
188,1.3786191060573851,Stefan
189,1.4220879587974569,Stefan
190,1.3838774723153269,Stefan
191,1.3967646475548803,Stefan
192,1.4010092031400014,Stefan
193,1.3748037074606583,Stefan
194,1.4391062003656674,Stefan
195,1.387786341106414,Stefan
196,1.3679916449963316,Stefan
197,1.3768728611549275,Stefan
198,1.4031188351622514,Stefan
199,1.3811265357790343,Stefan
200,1.3922051897731624,Stefan
201,1.442945826324343,Stefan
202,1.4057967921086303,Stefan
203,1.444162993424777,Stefan
204,1.4075049550965562,Stefan
205,1.3980474720016212,Stefan
206,1.4232125368753386,Stefan
207,1.4269309989199825,Stefan
208,1.4338529065098793,Stefan
209,1.3976090108921313,Stefan
210,1.4104238042689505,Stefan
211,1.3816952964387315,Stefan
212,1.4116905822171366,Stefan
213,1.4008773893473276,Stefan
214,1.3907313913758002,Stefan
215,1.4251770153492764,Stefan
216,1.4085601151782288,Stefan
217,1.3762205786880592,Stefan
218,1.3959127151868058,Stefan
219,1.3968517054259075,Stefan
220,1.2881764888549243,Stefan
221,1.3949399277326626,Stefan
222,1.4240304037602214,Stefan
223,1.3976831141078185,Stefan
224,1.4076161236090996,Stefan
225,1.3961238166509304,Stefan
226,1.395834785159696,Stefan
227,1.4247530456341748,Stefan
228,1.3932622380105963,Stefan
229,1.4331962777643565,Stefan
230,1.4122006911998866,Stefan
231,1.376574055941953,Stefan
232,1.407240674841131,Stefan
233,1.4140952754874065,Stefan
234,1.3718595037548547,Stefan
235,1.3900196266982006,Stefan
236,1.3771241991845773,Stefan
237,1.369651476862487,Stefan
238,1.3903116450350599,Stefan
239,1.4360198368631283,Stefan
240,1.4102128640193643,Stefan
241,1.4459426512407725,Stefan
242,1.3983235768431885,Stefan
243,1.4113342741641912,Stefan
244,1.3810911375264732,Stefan
245,1.381436046317311,Stefan
246,1.3950417679631835,Stefan
247,1.421125140058283,Stefan
248,1.4421058491003962,Stefan
249,1.3731950375747048,Stefan
250,1.4119737728885544,Stefan
251,1.41745680669775,Stefan
252,1.3645968971787983,Stefan
253,1.3883130294175443,Stefan
254,1.370836747058034,Stefan
255,1.367112690424733,Stefan
256,1.391785066076153,Stefan
257,1.420684445120999,Stefan
258,1.4112464115239336,Stefan
259,1.4397158298376442,Stefan
260,1.4423890907688801,Stefan
261,1.3947715431317267,Stefan
262,1.4500003735479439,Stefan
263,1.4082862361288613,Stefan
264,1.3980024281800432,Stefan
265,1.4050427823401634,Stefan
266,1.3587703128123403,Stefan
267,1.3925845275607105,Stefan
268,1.4198250661502902,Stefan
269,1.373692911284178,Stefan
270,1.3830321660204759,Stefan
271,1.386870859766157,Stefan
272,1.3769519101970928,Stefan
273,1.3862345799554203,Stefan
274,1.4274136074478583,Stefan
275,1.3893304486289058,Stefan
276,1.3773280573623865,Stefan
277,1.4153552573453703,Stefan
278,1.4078292620243664,Stefan
279,1.3919855391921523,Stefan
280,1.3621424193060854,Stefan
281,1.3855274115828813,Stefan
282,1.3307305300895191,Stefan
283,1.430357375694851,Stefan
